State,Domain,Reporting Program,Measure Name,Measure Abbreviation,Measure Description,FFY,Population,Methodology,State Rate,Number of States Reporting,Median,25th Percentile,75th Percentile,Notes,Source,Location
Massachusetts,Maternal and Perinatal Health,Child Core Set,"Live Births Weighing Less than 2,500 Grams",LBW-CH,"Percentage of Live Births Weighing Less Than 2,500 Grams [Lower rates are better]",2014,Medicaid & CHIP,Administrative,8.2,29,9,7.8,10.1,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(42.2373, -71.5314)"
Louisiana,Care of Acute and Chronic Conditions,Child Core Set,Ambulatory Care – Emergency Department (ED) Visits,AMB-CH,"ED Visits per 1,000 Enrollee-Months [Lower rates are better]",2014,Medicaid & CHIP,Administrative,53.2,37,45.7,40.1,52.2,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(31.1801, -91.8749)"
West Virginia,Behavioral Health,Child Core Set,Follow-Up After Hospitalization for Mental Illness,FUH-CH,Percentage of Discharges with a Follow-Up Visit within 7 Days: 6-20,2014,CHIP only,Administrative,21.5,34,43.9,32,62.9,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(38.468, -80.9696)"
West Virginia,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma,MMA-CH,Percentage Dispensed Appropriate Medication And Remained on Medication for at Least 75 Percent of Treatment Period: 5-11 Years,2014,Medicaid only,Administrative,51.3,26,30.3,23.4,39,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(38.468, -80.9696)"
Washington,Primary Care and Preventive Care,Child Core Set,Adolescent Well-Care Visits,AWC-CH,Percentage with 1 or More Visits,2014,Medicaid & CHIP,Hybrid,39.1,44,43.5,38,56.2,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(47.3917, -121.5708)"
Tennessee,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma,MMA-CH,Percentage Dispensed Appropriate Medication And Remained on Medication for at Least 75 Percent of Treatment Period: 5-11 Years,2014,CHIP only,Administrative,33.1,26,30.3,23.4,39,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(35.7449, -86.7489)"
Maryland,Primary Care and Preventive Care,Child Core Set,Weight Assessment and Counseling for Nutrition and Physical Activity for Children/Adolescents – Body Mass Index Assessment for Children/Adolescents,WCC-CH,Percentage with a BMI Percentile Documented: 3-17,2014,Medicaid & CHIP,Hybrid,57.4,33,42.6,12.3,63.4,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(39.0724, -76.7902)"
New Jersey,Behavioral Health,Child Core Set,"Follow-Up Care for Children Prescribed Attention Deficit Hyperactivity Disorder (ADHD) Medication
",ADD-CH,Percentage with At Least 2 Follow-Up Visits During the Continuation and Maintenance Phase,2014,Medicaid & CHIP,Administrative,,31,56.5,45.3,63.1,NR = State did not report the measure for this population.,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(40.314, -74.5089)"
Illinois,Primary Care and Preventive Care,Child Core Set,Adolescent Well-Care Visits,AWC-CH,Percentage with 1 or More Visits,2014,Medicaid & CHIP,Administrative,47.4,44,43.5,38,56.2,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(40.3363, -89.0022)"
Oregon,Dental and Oral Health Services,Child Core Set,Percentage of Eligibles That Received Dental Treatment Services,TDENT-CH,Percentage with At Least One  Dental Treatment Service,2014,Medicaid only,Administrative,16.1,51,22.3,20.2,25.2,,"Mathematica analysis of FFY 2014 Form CMS-416 reports(annual EPSDT report), Lines 1b and 12b","(44.5672, -122.1269)"
California,Primary Care and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Two Years: 12-19 years,2014,Medicaid & CHIP,Administrative,82.9,42,90.6,85.7,92.1,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(36.17, -119.7462)"
Texas,Primary Care and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Two Years: 12-19 years,2014,Medicaid only,Administrative,88.9,42,90.6,85.7,92.1,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(31.106, -97.6475)"
Arkansas,Behavioral Health,Child Core Set,Follow-Up After Hospitalization for Mental Illness,FUH-CH,Percentage of Discharges with a Follow-Up Visit within 30 Days: 6-20,2014,Medicaid & CHIP,Administrative,66.8,34,65.2,51.9,78.3,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(34.9513, -92.3809)"
North Carolina,Maternal and Perinatal Health,Child Core Set,"Live Births Weighing Less than 2,500 Grams",LBW-CH,"Percentage of Live Births Weighing Less Than 2,500 Grams [Lower rates are better]",2014,Medicaid only,Administrative,10.6,29,9,7.8,10.1,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(35.6411, -79.8431)"
Rhode Island,Maternal and Perinatal Health,Child Core Set,Timeliness of Prenatal Care,PPC-CH,Percentage with a Prenatal Visit in the First Trimester or within 42 Days of Medicaid/CHIP Enrollment,2014,Medicaid & CHIP,Hybrid,94,34,81.4,69.7,86.4,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(41.6772, -71.5101)"
Connecticut,Primary Care and Preventive Care,Child Core Set,Weight Assessment and Counseling for Nutrition and Physical Activity for Children/Adolescents – Body Mass Index Assessment for Children/Adolescents,WCC-CH,Percentage with a BMI Percentile Documented: 3-17,2014,Medicaid & CHIP,Hybrid,50.9,33,42.6,12.3,63.4,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(41.5834, -72.7622)"
Rhode Island,Behavioral Health,Child Core Set,"Follow-Up Care for Children Prescribed Attention Deficit Hyperactivity Disorder (ADHD) Medication
",ADD-CH,Percentage with At Least 2 Follow-Up Visits During the Continuation and Maintenance Phase,2014,Medicaid & CHIP,Administrative,69,31,56.5,45.3,63.1,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(41.6772, -71.5101)"
Louisiana,Behavioral Health,Child Core Set,Follow-Up After Hospitalization for Mental Illness,FUH-CH,Percentage of Discharges with a Follow-Up Visit within 7 Days: 6-20,2014,Medicaid & CHIP,Administrative,29.7,34,43.9,32,62.9,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(31.1801, -91.8749)"
Massachusetts,Dental and Oral Health Services,Child Core Set,Percentage of Eligibles That Received Dental Treatment Services,TDENT-CH,Percentage with At Least One  Dental Treatment Service,2014,Medicaid only,Administrative,30.1,51,22.3,20.2,25.2,,"Mathematica analysis of FFY 2014 Form CMS-416 reports(annual EPSDT report), Lines 1b and 12b","(42.2373, -71.5314)"
Washington,Maternal and Perinatal Health,Child Core Set,"Live Births Weighing Less than 2,500 Grams",LBW-CH,"Percentage of Live Births Weighing Less Than 2,500 Grams [Lower rates are better]",2014,Medicaid & CHIP,Administrative,7,29,9,7.8,10.1,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(47.3917, -121.5708)"
West Virginia,Primary Care and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Year: 25 months-6 years,2014,CHIP only,Administrative,94.7,43,88.6,84.3,91.6,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(38.468, -80.9696)"
Pennsylvania,Behavioral Health,Child Core Set,"Follow-Up Care for Children Prescribed Attention Deficit Hyperactivity Disorder (ADHD) Medication
",ADD-CH,Percentage with 1 Follow-Up Visit During the Initiation Phase,2014,Medicaid & CHIP,Administrative,23.5,34,44.1,35.3,53.3,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(40.5773, -77.264)"
Texas,Primary Care and Preventive Care,Child Core Set,"Well-Child Visits in the Third, Fourth, Fifth and Sixth Years of Life",W34-CH,Percentage with 1 or More Visits,2014,CHIP only,Hybrid,76.1,46,67.4,60.6,75.9,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(31.106, -97.6475)"
Iowa,Primary Care and Preventive Care,Child Core Set,Weight Assessment and Counseling for Nutrition and Physical Activity for Children/Adolescents – Body Mass Index Assessment for Children/Adolescents,WCC-CH,Percentage with a BMI Percentile Documented: 3-17,2014,Medicaid only,Administrative,1.3,33,42.6,12.3,63.4,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(42.0046, -93.214)"
New Jersey,Primary Care and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Two Years: 12-19 years,2014,Medicaid & CHIP,Administrative,91.6,42,90.6,85.7,92.1,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(40.314, -74.5089)"
Georgia,Maternal and Perinatal Health,Child Core Set,"Live Births Weighing Less than 2,500 Grams",LBW-CH,"Percentage of Live Births Weighing Less Than 2,500 Grams [Lower rates are better]",2014,Medicaid & CHIP,Administrative,9.2,29,9,7.8,10.1,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(32.9866, -83.6487)"
Georgia,Primary Care and Preventive Care,Child Core Set,Well-Child Visits in the First 15 Months of Life,W15-CH,Percentage with 6 or More Visits,2014,Medicaid & CHIP,Hybrid,58.4,40,62.1,56.2,68.7,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(32.9866, -83.6487)"
Virginia,Primary Care and Preventive Care,Child Core Set,Well-Child Visits in the First 15 Months of Life,W15-CH,Percentage with 6 or More Visits,2014,Medicaid & CHIP,Administrative,65,40,62.1,56.2,68.7,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(37.768, -78.2057)"
New Jersey,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma,MMA-CH,Percentage Dispensed Appropriate Medication And Remained on Medication for at Least 75 Percent of Treatment Period:  Total,2014,Medicaid & CHIP,Administrative,26.1,25,31.2,24.5,38.9,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(40.314, -74.5089)"
Tennessee,Primary Care and Preventive Care,Child Core Set,Childhood Immunization Status,CIS-CH,Percentage Up-to-Date on Immunizations (Combination 3),2014,CHIP only,Hybrid,68.4,35,66.9,56.7,75.1,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(35.7449, -86.7489)"
Delaware,Primary Care and Preventive Care,Child Core Set,Childhood Immunization Status,CIS-CH,Percentage Up-to-Date on Immunizations (Combination 3),2014,Medicaid & CHIP,Administrative,86.3,35,66.9,56.7,75.1,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(39.3498, -75.5148)"
Washington,Primary Care and Preventive Care,Child Core Set,Human Papillomavirus (HPV) Vaccine for Female Adolescents,HPV-CH,Percentage Receiving Three Vaccine Doses Before Age 13,2014,Medicaid & CHIP,Administrative,17.7,32,17.6,12.9,22.9,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(47.3917, -121.5708)"
Virginia,Primary Care and Preventive Care,Child Core Set,Adolescent Well-Care Visits,AWC-CH,Percentage with 1 or More Visits,2014,Medicaid & CHIP,Administrative,44.8,44,43.5,38,56.2,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(37.768, -78.2057)"
Iowa,Behavioral Health,Child Core Set,"Follow-Up Care for Children Prescribed Attention Deficit Hyperactivity Disorder (ADHD) Medication
",ADD-CH,Percentage with At Least 2 Follow-Up Visits During the Continuation and Maintenance Phase,2014,Medicaid only,Administrative,38.1,31,56.5,45.3,63.1,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(42.0046, -93.214)"
Iowa,Maternal and Perinatal Health,Child Core Set,"Live Births Weighing Less than 2,500 Grams",LBW-CH,"Percentage of Live Births Weighing Less Than 2,500 Grams [Lower rates are better]",2014,CHIP only,NR,,29,9,7.8,10.1,NR = State did not report the measure for this population.,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(42.0046, -93.214)"
Oregon,Behavioral Health,Child Core Set,"Follow-Up Care for Children Prescribed Attention Deficit Hyperactivity Disorder (ADHD) Medication
",ADD-CH,Percentage with At Least 2 Follow-Up Visits During the Continuation and Maintenance Phase,2014,Medicaid & CHIP,Administrative,61.6,31,56.5,45.3,63.1,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(44.5672, -122.1269)"
West Virginia,Behavioral Health,Child Core Set,"Follow-Up Care for Children Prescribed Attention Deficit Hyperactivity Disorder (ADHD) Medication
",ADD-CH,Percentage with At Least 2 Follow-Up Visits During the Continuation and Maintenance Phase,2014,Medicaid only,Administrative,84.4,31,56.5,45.3,63.1,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(38.468, -80.9696)"
Illinois,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma,MMA-CH,Percentage Dispensed Appropriate Medication And Remained on Medication for at Least 75 Percent of Treatment Period: 12-18 Years,2014,Medicaid & CHIP,Administrative,17.2,25,28.2,23.3,37.9,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(40.3363, -89.0022)"
Delaware,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma,MMA-CH,Percentage Dispensed Appropriate Medication And Remained on Medication for at Least 75 Percent of Treatment Period: 5-11 Years,2014,Medicaid & CHIP,Administrative,30.6,26,30.3,23.4,39,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(39.3498, -75.5148)"
Kentucky,Primary Care and Preventive Care,Child Core Set,"Well-Child Visits in the Third, Fourth, Fifth and Sixth Years of Life",W34-CH,Percentage with 1 or More Visits,2014,Medicaid & CHIP,Administrative,62.8,46,67.4,60.6,75.9,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(37.669, -84.6514)"
Rhode Island,Behavioral Health,Child Core Set,"Follow-Up Care for Children Prescribed Attention Deficit Hyperactivity Disorder (ADHD) Medication
",ADD-CH,Percentage with 1 Follow-Up Visit During the Initiation Phase,2014,Medicaid & CHIP,Administrative,56.6,34,44.1,35.3,53.3,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(41.6772, -71.5101)"
Louisiana,Behavioral Health,Child Core Set,"Follow-Up Care for Children Prescribed Attention Deficit Hyperactivity Disorder (ADHD) Medication
",ADD-CH,Percentage with At Least 2 Follow-Up Visits During the Continuation and Maintenance Phase,2014,Medicaid & CHIP,Administrative,52.8,31,56.5,45.3,63.1,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(31.1801, -91.8749)"
New York,Maternal and Perinatal Health,Child Core Set,Timeliness of Prenatal Care,PPC-CH,Percentage with a Prenatal Visit in the First Trimester or within 42 Days of Medicaid/CHIP Enrollment,2014,Medicaid only,Hybrid,87.8,34,81.4,69.7,86.4,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(42.1497, -74.9384)"
Pennsylvania,Primary Care and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Two Years: 12-19 years,2014,Medicaid & CHIP,Administrative,91,42,90.6,85.7,92.1,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(40.5773, -77.264)"
California,Care of Acute and Chronic Conditions,Child Core Set,Medication Management for People with Asthma,MMA-CH,Percentage Dispensed Appropriate Medication And Remained on Medication for at Least 75 Percent of Treatment Period:  Total,2014,Medicaid & CHIP,Administrative,32.2,25,31.2,24.5,38.9,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(36.17, -119.7462)"
New Mexico,Primary Care and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Two Years: 7-11 years,2014,Medicaid & CHIP,Administrative,91.3,42,91.2,86.1,94,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(34.8375, -106.2371)"
Rhode Island,Primary Care and Preventive Care,Child Core Set,Child and Adolescent Access to Primary Care Practitioners,CAP-CH,Percentage with a PCP Visit in the Past Year: 25 months-6 years,2014,Medicaid & CHIP,Administrative,94.1,43,88.6,84.3,91.6,,Mathematica analysis of MACPro reports for the FFY 2014 reporting cycle.,"(41.6772, -71.5101)"
